schoolId,name,oldName,principal,region,province,city,congDist,brgy,street,telNo1,telNo2,fax,cell1,cell2,website
1103806,Good Soil Academy Inc,,,110000000,112400000,,,Catalunan Grande,Elenita Heights,0922 8815426,82 2931478,,,,
1103807,IGACOS Institute of Technology Inc,,,110000000,112300000,,,Babak District,Miranda,0932 6541630,,,,,
1103808,"Sunbeam Christian School of Mati, Inc",,,110000000,112500000,,,Sainz,,0910 5485997,87 8115139,,,,
1103809,Tagum Longford College Inc,,,110000000,112300000,,,Gante Road,,0926 2072494,084 6556134,,,,
1103810,Mustard Seed Christian School Inc,,,110000000,112300000,,,New Visayas,Prk. Malabago,0907 6882227,,,,,
1103811,Saint Paul College of Davao Inc,,,110000000,112400000,,,Ma-a,Diversion Road,0905 3673938,082 2828118,,,,
1203812,"Noorul Eilm Academy Foundation, Inc.",,,120000000,124700000,,,Inug-ug,National Highway,0917 6292544,64,,,,
1203813,Stratford International School,,,120000000,126300000,,,Lagao,Catolico Ave.,0932 6542309,083 5541615,,,,
403814,Laguna Maritime Arts and Business Colleges,,,40000000,43400000,,,Balian,109 San Marcos Street,0917 8674733,049 5570422,,,,
403815,"Academe Deo Favente International School, Inc.",,,40000000,45800000,,,Silangan,Phase 2 Blk 2-8 Sta. Barbara Villas 1 Subd.,0927 7868279,4632354,,,,
403816,Rich Golden Shower Montessori Center,,,40000000,45800000,,,Quezon Ave Ext.,Rancho Bueno,0917 8863174,5145841,,,,
403817,"SPI Systems Colleges, Inc.",,,40000000,45800000,,,San Roque ,31  ML Quezon Ext.,0999 970580,7759005,,,0906 2794387,
403818,"Academia de Lipa City, Inc.",,,40000000,41000000,,,Brgy. San Sebastian,,0917 5078010,,,,,
403819,"Child Jesus of Nazareth School, Inc.",,,40000000,45600000,,,Brgy. Padre Burgos,,,,,,,
403820,"Rainbow Institute of Learning, Inc.",,,40000000,43400000,,,Brgy. Sta. Clara Sur,008 Rizal St.,0927 8900684,044 5590098,,,,
